date,county,mode,injury,depth,species,longitude,latitude,year,yearly_incidents
1950-10-08T00:00:00Z,San Diego,Swimming,major,surface,White,-117.14666666666666,32.58833333333333,1950,1
1952-05-27T00:00:00Z,San Diego,Swimming,minor,surface,White,-117.24666666666666,32.58833333333333,1952,2
1952-12-07T00:00:00Z,Monterey,Swimming,fatal,surface,White,-122.05,36.626666666666665,1952,2
1955-02-06T00:00:00Z,Monterey,Freediving,minor,surface,White,-122.15,36.626666666666665,1955,1
1956-08-14T00:00:00Z,San Luis Obispo,Swimming,major,surface,White,-120.64666666666666,35.138333333333335,1956,1
1957-04-28T00:00:00Z,San Luis Obispo,Swimming,fatal,surface,White,-120.875,35.403333333333336,1957,1
1958-10-12T00:00:00Z,San Diego,Swimming,major,surface,White,-117.21666666666668,32.685,1958,1
1959-05-07T00:00:00Z,San Francisco,Swimming,fatal,surface,White,-122.4836,37.7936,1959,5
1959-06-14T00:00:00Z,San Diego,Freediving,fatal,surface,White,-117.28,32.855,1959,5
1959-07-28T00:00:00Z,San Diego,Freediving,minor,surface,Hammerhead,-117.38,32.855,1959,5
1959-10-04T00:00:00Z,Sonoma,Freediving,none,surface,White,-123.04666666666668,38.295,1959,5
1959-11-10T00:00:00Z,Los Angeles,Freediving,minor,surface,Blue,-118.78333333333332,34.01833333333333,1959,5
1960-04-24T00:00:00Z,Marin,Freediving,minor,surface,White,-122.965,38.181666666666665,1960,2
1960-05-19T00:00:00Z,Santa Cruz,Swimming,major,surface,White,-122.095,36.96,1960,2
1961-05-21T00:00:00Z,Marin,Freediving,none,25,White,-123.065,38.181666666666665,1961,2
1961-08-20T00:00:00Z,Sonoma,Swimming,major,surface,White,-123.07666666666668,38.358333333333334,1961,2
1962-01-14T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.03166666666668,37.72,1962,2
1962-11-11T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.13166666666666,37.72,1962,2
1964-01-11T00:00:00Z,Island - Farallones,Scuba Diving,major,surface,White,-123.23166666666664,37.72,1964,1
1966-01-22T00:00:00Z,Monterey,Freediving,major,surface,White,-122.0423722,36.583333333333336,1966,1
1968-07-27T00:00:00Z,Sonoma,Freediving,major,20,White,-123.14666666666666,38.295,1968,1
1969-07-20T00:00:00Z,San Mateo,Freediving,minor,surface,Killer Whale,-122.40833333333332,37.19166666666667,1969,2
1969-09-06T00:00:00Z,Marin,Freediving,major,surface,White,-123.165,38.181666666666665,1969,2
1971-07-19T00:00:00Z,Santa Barbara,Hookah Diving,major,20,White,-120.64166666666668,34.75833333333333,1971,2
1971-10-02T00:00:00Z,Sonoma,Scuba Diving,major,15,White,-123.43,38.666666666666664,1971,2
1972-05-28T00:00:00Z,Marin,Freediving,major,surface,White,-123.265,38.181666666666665,1972,2
1972-09-09T00:00:00Z,Monterey,Surfing / Boarding,major,surface,Killer Whale,-121.89666666666666,36.31333333333333,1972,2
1974-05-26T00:00:00Z,Marin,Freediving,major,surface,White,-123.36499999999998,38.181666666666665,1974,7
1974-07-26T00:00:00Z,Mendocino,Freediving,minor,25,White,-123.77666666666669,39.22833333333333,1974,7
1974-08-05T00:00:00Z,San Mateo,Surfing / Boarding,minor,surface,White,-122.40833333333332,37.32333333333333,1974,7
1974-09-02T00:00:00Z,San Mateo,Scuba Diving,minor,surface,White,-122.36666666666666,37.15,1974,7
1974-09-02T00:00:00Z,San Mateo,Scuba Diving,minor,surface,White,-122.46666666666664,37.15,1974,7
1974-09-14T00:00:00Z,Island - Farallones,Hookah Diving,major,28,White,-123.33166666666664,37.72,1974,7
1974-09-28T00:00:00Z,Monterey,Surfing / Boarding,major,surface,White,-121.99666666666666,36.31333333333333,1974,7
1975-07-19T00:00:00Z,Santa Barbara,Hookah Diving,none,30,White,-120.475,34.45,1975,4
1975-07-23T00:00:00Z,Santa Barbara,Scuba Diving,major,surface,White,-120.575,34.45,1975,4
1975-08-09T00:00:00Z,Mendocino,Freediving,major,19,White,-123.85666666666668,39.82,1975,4
1975-12-06T00:00:00Z,Island - Farallones,Scuba Diving,major,20,White,-123.43166666666664,37.72,1975,4
1976-10-18T00:00:00Z,Humboldt,Surfing / Boarding,minor,surface,White,-124.11166666666666,41.025,1976,2
1976-10-18T00:00:00Z,Island - San Miguel,Hookah Diving,major,18,White,-120.43666666666668,34.04,1976,2
1977-08-14T00:00:00Z,Marin,Freediving,major,surface,White,-123.46499999999996,38.181666666666665,1977,1
1978-08-05T00:00:00Z,Santa Cruz,Swimming,minor,surface,NA,-121.81,36.86,1978,1
1979-03-11T00:00:00Z,San Mateo,Scuba Diving,none,20,White,-122.34333333333332,37.108333333333334,1979,1
1980-10-17T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.21166666666666,41.025,1980,1
1981-12-19T00:00:00Z,Monterey,Surfing / Boarding,fatal,surface,White,-122.25,36.626666666666665,1981,1
1982-02-07T00:00:00Z,Sonoma,Scuba Diving,major,40,White,-123.305,38.54333333333334,1982,4
1982-07-24T00:00:00Z,San Luis Obispo,Paddleboarding,none,surface,White,-120.90666666666668,35.236666666666665,1982,4
1982-09-19T00:00:00Z,Mendocino,Freediving,major,12,White,-123.93333333333334,39.93333333333333,1982,4
1982-09-25T00:00:00Z,Monterey,Scuba Diving,minor,40,White,-121.92666666666666,36.526666666666664,1982,4
1984-09-15T00:00:00Z,San Mateo,Freediving,fatal,surface,White,-122.50833333333333,37.19166666666667,1984,3
1984-09-17T00:00:00Z,San Diego,Swimming,minor,surface,Blue,-117.25666666666666,32.785,1984,3
1984-09-30T00:00:00Z,Marin,Freediving,major,10,White,-123.56499999999996,38.181666666666665,1984,3
1985-02-18T00:00:00Z,Island - San Miguel,Scuba Diving,minor,surface,White,-120.53666666666666,34.04,1985,4
1985-05-26T00:00:00Z,Orange,Surfing / Boarding,minor,surface,NA,-118.1,33.75,1985,4
1985-09-28T00:00:00Z,Marin,Freediving,none,14,White,-123.66499999999996,38.181666666666665,1985,4
1985-10-22T00:00:00Z,Santa Barbara,Hookah Diving,minor,15,NA,-120.675,34.45,1985,4
1986-12-06T00:00:00Z,Monterey,Freediving,major,38,White,-122.126666666667,36.526666666666664,1986,1
1987-08-15T00:00:00Z,San Mateo,Surfing / Boarding,minor,surface,White,-122.499,37.492,1987,2
1987-10-26T00:00:00Z,Santa Cruz,Surfing / Boarding,minor,surface,White,-122.25333333333332,37.05,1987,2
1988-04-24T00:00:00Z,San Luis Obispo,Surfing / Boarding,none,surface,White,-120.975,35.403333333333336,1988,2
1988-08-11T00:00:00Z,Del Norte,Surfing / Boarding,minor,surface,White,-124.08833333333334,41.56166666666667,1988,2
1989-01-26T00:00:00Z,Los Angeles,Kayaking / Canoeing,fatal,surface,White,-118.88333333333333,34.01833333333333,1989,3
1989-09-04T00:00:00Z,Island - Santa Barbara,Scuba Diving,major,underwater,blue,NA,NA,1989,3
1989-09-09T00:00:00Z,Island - Farallones,Hookah Diving,major,25,White,-123.53166666666664,37.72,1989,3
1990-01-12T00:00:00Z,San Mateo,Surfing / Boarding,none,surface,White,-122.51833333333332,37.55833333333333,1990,5
1990-08-28T00:00:00Z,Humboldt,Surfing / Boarding,minor,surface,White,-124.15,41.05833333333333,1990,5
1990-09-05T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,-124.25,41.05833333333333,1990,5
1990-09-08T00:00:00Z,Sonoma,Freediving,major,surface,White,-123.175,38.475,1990,5
1990-11-03T00:00:00Z,Monterey,Scuba Diving,major,surface,White,-122.226666666667,36.526666666666664,1990,5
1991-07-01T00:00:00Z,Santa Cruz,Surfing / Boarding,major,surface,White,-122.35333333333332,37.05,1991,4
1991-10-05T00:00:00Z,Santa Cruz,Surfing / Boarding,major,surface,White,-122.45333333333332,37.05,1991,4
1991-10-09T00:00:00Z,Marin,Hookah Diving,none,25,White,-122.99694,37.983,1991,4
1991-12-04T00:00:00Z,Humboldt,Hookah Diving,none,surface,White,-124.08333333333331,40.028333333333336,1991,4
1992-08-18T00:00:00Z,Del Norte,Surfing / Boarding,none,surface,White,-124.18833333333332,41.56166666666667,1992,5
1992-10-29T00:00:00Z,Island - San Miguel,Hookah Diving,minor,47,White,-120.63666666666666,34.04,1992,5
1992-11-11T00:00:00Z,Island - San Nicolas,Scuba Diving,minor,72,NA,-119.53833333333333,33.22666666666667,1992,5
1992-11-14T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.44333333333331,37.108333333333334,1992,5
1992-11-29T00:00:00Z,San Diego,Freediving,minor,surface,NA,-117.6,33.37,1992,5
1993-03-12T00:00:00Z,San Mateo,Freediving,none,15,White,-122.517,37.596666666666664,1993,4
1993-08-12T00:00:00Z,Mendocino,Freediving,major,5,White,-123.785,39.666666666666664,1993,4
1993-10-10T00:00:00Z,Sonoma,Kayaking / Canoeing,none,surface,White,-123.13333333333334,38.43666666666667,1993,4
1993-10-30T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.22666666666667,40.77,1993,4
1994-12-09T00:00:00Z,Island - San Miguel,Hookah Diving,fatal,NA,White,-120.73666666666664,34.04,1994,1
1995-06-24T00:00:00Z,San Diego,Kayaking / Canoeing,minor,surface,White,-117.48,32.855,1995,4
1995-06-30T00:00:00Z,Monterey,Scuba Diving,major,40,White,-122.02666666666666,36.526666666666664,1995,4
1995-09-03T00:00:00Z,Humboldt,Freediving,major,surface,White,-124.18333333333332,40.028333333333336,1995,4
1995-09-28T00:00:00Z,Santa Cruz,Surfing / Boarding,minor,surface,White,-122.55333333333331,37.05,1995,4
1996-08-13T00:00:00Z,Marin,Freediving,major,18,White,-123.76499999999996,38.181666666666665,1996,4
1996-10-03T00:00:00Z,Sonoma,Surfing / Boarding,none,surface,White,-123.176666666667,38.3583333333333,1996,4
1996-10-05T00:00:00Z,Marin,Surfing / Boarding,major,surface,White,-122.971666666667,38.25,1996,4
1996-11-29T00:00:00Z,Sonoma,Surfing / Boarding,minor,surface,White,-123.276666666667,38.3583333333333,1996,4
1997-08-24T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.31166666666664,41.025,1997,1
1998-08-26T00:00:00Z,Marin,Surfing / Boarding,major,surface,White,-122.645,37.89666666666667,1998,1
1999-11-15T00:00:00Z,Santa Cruz,Surfing / Boarding,none,surface,White,-122.28333,37.09583,1999,1
2000-09-29T00:00:00Z,San Mateo,Surfing / Boarding,none,surface,White,-122.599,37.492,2000,2
2000-11-04T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.32666666666668,40.77,2000,2
2001-01-09T00:00:00Z,San Diego,Surfing / Boarding,none,surface,Blue,-117.259,32.731,2001,1
2002-05-31T00:00:00Z,Marin,Surfing / Boarding,major,surface,White,-122.745,37.89666666666667,2002,3
2002-09-21T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.41166666666663,41.025,2002,3
2002-11-28T00:00:00Z,Sonoma,Surfing / Boarding,major,surface,White,-123.376666666667,38.358333333333334,2002,3
2003-08-19T00:00:00Z,San Luis Obispo,Swimming,fatal,surface,White,-120.7,35.2,2003,1
2004-05-28T00:00:00Z,Sonoma,Surfing / Boarding,none,surface,White,-123.476666666667,38.358333333333334,2004,8
2004-06-26T00:00:00Z,San Diego,Surfing / Boarding,none,surface,White,-117.7,33.37,2004,8
2004-08-15T00:00:00Z,Mendocino,Freediving,fatal,surface,White,-123.77833333333334,39.57833333333333,2004,8
2004-08-20T00:00:00Z,Orange,Surfing / Boarding,minor,surface,White,-117.6198,33.45,2004,8
2004-10-01T00:00:00Z,Orange,Surfing / Boarding,none,surface,White,-118,33.7,2004,8
2004-10-02T00:00:00Z,San Luis Obispo,Surfing / Boarding,none,surface,White,-120.74666666666666,35.138333333333335,2004,8
2004-10-10T00:00:00Z,Marin,Surfing / Boarding,minor,surface,White,-122.886,38.024,2004,8
2004-11-11T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.42666666666666,40.77,2004,8
2005-08-24T00:00:00Z,San Diego,Surfing / Boarding,minor,surface,White,-117.58,32.855,2005,5
2005-10-19T00:00:00Z,Sonoma,Surfing / Boarding,major,surface,White,-123.576666666667,38.358333333333334,2005,5
2005-10-21T00:00:00Z,Del Norte,Surfing / Boarding,minor,surface,White,-124.28833333333333,41.56166666666667,2005,5
2005-11-02T00:00:00Z,San Mateo,Surfing / Boarding,none,surface,White,-122.69899999999998,37.492,2005,5
2005-11-02T00:00:00Z,San Francisco,Surfing / Boarding,none,surface,White,-122.518,37.74,2005,5
2006-01-18T00:00:00Z,Santa Cruz,Surfing / Boarding,none,surface,White,-122.195,36.96,2006,4
2006-06-17T00:00:00Z,Monterey,Scuba Diving,none,submerged,White,-121.85,36.626666666666665,2006,4
2006-07-29T00:00:00Z,Los Angeles,Surfing / Boarding,major,surface,Mako,NA,NA,2006,4
2006-12-10T00:00:00Z,Marin,Surfing / Boarding,minor,surface,White,-123.071666666667,38.25,2006,4
2007-06-30T00:00:00Z,Los Angeles,Swimming,minor,surface,NA,-118.54,34.03,2007,9
2007-07-17T00:00:00Z,Ventura,Swimming,minor,surface,NA,-119.391,34.318,2007,9
2007-07-21T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.60833333333332,37.19166666666667,2007,9
2007-07-22T00:00:00Z,Los Angeles,Paddleboarding,none,surface,White,-118.983333333333,34.01833333333333,2007,9
2007-07-28T00:00:00Z,San Diego,Surfing / Boarding,none,surface,NA,-117.34666666666664,32.58833333333333,2007,9
2007-08-28T00:00:00Z,Monterey,Surfing / Boarding,major,surface,White,-121.8,36.7,2007,9
2007-09-27T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.51166666666664,41.025,2007,9
2007-09-30T00:00:00Z,Los Angeles,Surfing / Boarding,minor,surface,NA,-118.502,34.004,2007,9
2007-10-07T00:00:00Z,Los Angeles,Surfing / Boarding,minor,surface,Leopard,-118.469,33.978,2007,9
2008-03-07T00:00:00Z,Orange,Surfing / Boarding,none,surface,White,-118.1,33.7,2008,4
2008-04-25T00:00:00Z,San Diego,Swimming,fatal,surface,White,-117.3,33,2008,4
2008-06-21T00:00:00Z,Island - Catalina,Kayaking / Canoeing,none,surface,White,-118.4163,33.3879,2008,4
2008-09-08T00:00:00Z,Santa Barbara,Surfing / Boarding,none,surface,White,-120.61,34.683,2008,4
2009-04-06T00:00:00Z,San Diego,Freediving,none,surface,White,-117.274,32.817,2009,5
2009-08-25T00:00:00Z,San Diego,Swimming,minor,surface,White,-117.3,33.1,2009,5
2009-08-30T00:00:00Z,Orange,Surfing / Boarding,none,surface,White,-118.2,33.7,2009,5
2009-10-24T00:00:00Z,San Diego,Surfing / Boarding,minor,surface,NA,-117.8,33.37,2009,5
2009-11-05T00:00:00Z,Santa Cruz,Surfing / Boarding,none,surface,White,-122.65333333333332,37.05,2009,5
2010-07-02T00:00:00Z,San Diego,Paddleboarding,none,surface,White,-117.9,33.37,2010,5
2010-07-02T00:00:00Z,San Luis Obispo,Surfing / Boarding,minor,surface,Leopard,-120.84666666666664,35.138333333333335,2010,5
2010-08-02T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-120.122,34.397,2010,5
2010-08-14T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.70833333333331,37.19166666666667,2010,5
2010-10-22T00:00:00Z,Santa Barbara,Surfing / Boarding,fatal,surface,White,-120.71,34.683,2010,5
2011-06-06T00:00:00Z,San Diego,Freediving,none,surface,Sevengill,-117.68,32.855,2011,5
2011-06-24T00:00:00Z,San Diego,Surfing / Boarding,none,surface,White,-118,33.37,2011,5
2011-09-11T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.204,40.8,2011,5
2011-10-29T00:00:00Z,Monterey,Surfing / Boarding,major,surface,White,-121.9,36.7,2011,5
2011-11-22T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.80833333333332,37.19166666666667,2011,5
2012-05-06T00:00:00Z,Island - Catalina,Paddleboarding,none,surface,White,-118.5163,33.3879,2012,7
2012-05-12T00:00:00Z,San Luis Obispo,Kayaking / Canoeing,none,surface,White,-121.122,35.583,2012,7
2012-07-07T00:00:00Z,Santa Cruz,Kayaking / Canoeing,none,surface,White,-121.995,36.96,2012,7
2012-07-31T00:00:00Z,Los Angeles,Surfing / Boarding,minor,surface,NA,-118.6,34,2012,7
2012-10-07T00:00:00Z,Santa Cruz,Surfing / Boarding,none,surface,White,-122.7533333333333,37.05,2012,7
2012-10-23T00:00:00Z,Santa Barbara,Surfing / Boarding,fatal,surface,White,-120.81,34.683,2012,7
2012-10-30T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.52666666666666,40.77,2012,7
2013-06-25T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.617,37.596666666666664,2013,4
2013-08-17T00:00:00Z,San Mateo,Surfing / Boarding,none,surface,White,-122.79899999999998,37.492,2013,4
2013-08-31T00:00:00Z,Santa Barbara,Swimming,minor,surface,Salmon,-119.6492,34.4176,2013,4
2013-10-06T00:00:00Z,Humboldt,Surfing / Boarding,major,surface,White,-124.62666666666664,40.77,2013,4
2014-07-05T00:00:00Z,San Luis Obispo,Surfing / Boarding,none,surface,White,-120.635,35.11,2014,7
2014-09-13T00:00:00Z,Santa Cruz,Surfing / Boarding,none,surface,White,-122,36.7,2014,7
2014-10-02T00:00:00Z,Santa Barbara,Surfing / Boarding,minor,surface,White,-120.64,34.76,2014,7
2014-10-03T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-120.74,34.76,2014,7
2014-10-03T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-120.84,34.76,2014,7
2014-10-19T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-119.701,34.398,2014,7
2014-12-28T00:00:00Z,San Luis Obispo,Surfing / Boarding,major,surface,White,-120.892,35.276,2014,7
2015-07-10T00:00:00Z,Orange,Surfing / Boarding,none,surface,White,-118.29999999999998,33.7,2015,7
2015-08-18T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-120.21,34.367,2015,7
2015-08-29T00:00:00Z,San Luis Obispo,Surfing / Boarding,none,surface,White,-121.075,35.403333333333336,2015,7
2015-09-05T00:00:00Z,Ventura,Kayaking / Canoeing,minor,surface,Hammerhead,-118.9986,34.0514,2015,7
2015-09-06T00:00:00Z,Los Angeles,Paddleboarding,none,surface,White,-118.894,34.038,2015,7
2015-09-20T00:00:00Z,Island - Santa Cruz,Freediving,minor,surface,Hammerhead,-119.55,34,2015,7
2015-09-24T00:00:00Z,Santa Barbara,Kayaking / Canoeing,minor,surface,White,-119.595,34.417,2015,7
2016-05-29T00:00:00Z,Orange,Swimming,major,surface,White,-117.8755,33.5933,2016,4
2016-07-15T00:00:00Z,Orange,Surfing / Boarding,none,surface,White,NA,NA,2016,4
2016-09-01T00:00:00Z,Santa Barbara,Freediving,minor,surface,White,-120.075,34.46,2016,4
2016-09-17T00:00:00Z,Humboldt,Surfing / Boarding,none,surface,White,-124.72666666666665,40.77,2016,4
2017-03-18T00:00:00Z,Monterey,Kayaking / Canoeing,none,surface,White,-121.95,36.626666666666665,2017,8
2017-04-29T00:00:00Z,San Diego,Swimming,major,surface,White,-118.1,33.37,2017,8
2017-07-11T00:00:00Z,Santa Cruz,Kayaking / Canoeing,none,surface,White,-121.895,36.96,2017,8
2017-07-20T00:00:00Z,Santa Barbara,Paddleboarding,none,surface,White,-119.8,34.398,2017,8
2017-07-20T00:00:00Z,Santa Barbara,Kayaking / Canoeing,none,surface,White,-119.9,34.398,2017,8
2017-08-01T00:00:00Z,San Mateo,Kayaking / Canoeing,none,surface,White,-122.9083333,37.19166666666667,2017,8
2017-11-24T00:00:00Z,Monterey,Freediving,major,surface,White,-121.9423722,36.56425,2017,8
2017-12-30T00:00:00Z,Marin,Surfing / Boarding,minor,surface,White,-122.9417,38.0278,2017,8
2018-06-25T00:00:00Z,San Diego,Kayaking / Canoeing,none,surface,NA,-117.430831,33.187739,2018,6
2018-07-15T00:00:00Z,Humboldt,Walking in shallow,minor,surface,Salmon,NA,NA,2018,6
2018-08-24T00:00:00Z,Orange,Swimming,none,surface,White,-118.4,33.7,2018,6
2018-09-27T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,NA,NA,2018,6
2018-09-29T00:00:00Z,San Diego,Freediving,major,surface,White,-117.3047,33.0652,2018,6
2018-10-23T00:00:00Z,Island - Farallones,Scuba Diving,major,Unkown,White,-123.631666666667,37.72,2018,6
2019-01-08T00:00:00Z,San Luis Obispo,Surfing / Boarding,major,surface,White,-120.992,35.276,2019,5
2019-05-07T00:00:00Z,Sonoma,Surfing / Boarding,none,surface,White,-123.676666666667,38.358333333333334,2019,5
2019-09-01T00:00:00Z,San Diego,Surfing / Boarding,none,surface,Thresher,-117.4,33,2019,5
2019-10-05T00:00:00Z,Island - Catalina,Kayaking / Canoeing,none,surface,White,-118.4917,33.4625,2019,5
2019-12-21T00:00:00Z,Island - Santa Rosa,Surfing / Boarding,major,surface,White,-120.23333,34.01667,2019,5
2020-03-27T00:00:00Z,Santa Cruz,Paddleboarding,none,surface,White,-122.095,36.96,2020,9
2020-04-28T00:00:00Z,San Diego,Surfing / Boarding,minor,surface,NA,NA,NA,2020,9
2020-05-01T00:00:00Z,Santa Barbara,Swimming,minor,surface,White,-119.695,34.41333,2020,9
2020-05-09T00:00:00Z,Santa Cruz,Surfing / Boarding,fatal,surface,White,-121.8558,36.919966,2020,9
2020-05-25T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,-124.283333,40.028333,2020,9
2020-06-19T00:00:00Z,Island - Santa Cruz,Scuba Diving,none,35',White,-119.52207,34.034931,2020,9
2020-08-12T00:00:00Z,Los Angeles,Freediving,minor,surface,White,-118.4089628,33.79,2020,9
2020-08-28T00:00:00Z,Humboldt,Kayaking / Canoeing,none,surface,White,-124.383333,40.028333,2020,9
2020-12-30T00:00:00Z,San Diego,Swimming,none,surface,White,-117.316667,32.685,2020,9
2021-06-26T00:00:00Z,San Mateo,Freediving,major,surface,White,-122.615003,37.564967,2021,7
2021-06-30T00:00:00Z,Island - Catalina,Kayaking / Canoeing,minor,surface,White,-118.55,33.47,2021,7
2021-07-05T00:00:00Z,San Luis Obispo,Kayaking / Canoeing,none,surface,White,-121.222,35.583,2021,7
2021-07-22T00:00:00Z,Monterey,Surfing / Boarding,none,surface,NA,-121.7917,36.8076,2021,7
2021-10-03T00:00:00Z,Sonoma,Surfing / Boarding,major,surface,White,-123.7766667,38.35833333,2021,7
2021-12-22T00:00:00Z,Sonoma,Surfing / Boarding,none,surface,White,-123.8766667,38.358333333,2021,7
2021-12-24T00:00:00Z,San Luis Obispo,Surfing / Boarding,fatal,surface,White,-121.175,35.40333333,2021,7
2022-02-26T00:00:00Z,Island - San Miguel,Scuba Diving,major,surface,White,-120.8366667,34.04,2022,1
